name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
A. Brouseau & Co.	corporate					DUKE	DDR	
A. Stein & Company	corporate					DUKE	DDR	
"Aarons, Leo"	personal					DUKE	DDR	
Abbott & Co.	corporate					DUKE	DDR	
"Abbott, William B."	personal					DUKE	DDR	
"Abdill, C. L."	personal					DUKE	DDR	
"Abel, Harry"	personal					DUKE	DDR	
"Abélard, Ézéchiel"	personal					DUKE	DDR	
"Abercrombie, Lascelles, 1881-1938"	personal					DUKE	DDR	
"Abernathy, Thomas E."	personal					DUKE	DDR	
"Abernethy, Daniel"	personal					DUKE	DDR	
"Abou, Sélim"	personal					DUKE	DDR	
Aboudja.	personal					DUKE	DDR	
"Abraham, Hérard"	personal					DUKE	DDR	
"Abrams, Irving S., 1891-1980"	personal					DUKE	DDR	
"Accidat, Claude Richard"	personal					DUKE	DDR	
"Acey, A. E."	personal					DUKE	DDR	
"Achtemeier, Elizabeth, 1926-2002"	personal					DUKE	DDR	
"Acker, Henry J."	personal					DUKE	DDR	
"Acosta, Roberto"	personal					DUKE	DDR	
"Adair, William P."	personal					DUKE	DDR	
"Adams, Abigail, 1744-1818"	personal					DUKE	DDR	
"Adams, Alvin P., 1942-"	personal					DUKE	DDR	
"Adams, Charles"	personal					DUKE	DDR	
"Adams, Harry B."	personal					DUKE	DDR	
"Adams, Henry L."	personal					DUKE	DDR	
"Adams, Joanna"	personal					DUKE	DDR	
"Adams, John H."	personal					DUKE	DDR	
"Adams, John P."	personal					DUKE	DDR	
"Adams, John Quincy, 1767-1848"	personal					DUKE	DDR	
"Adams, Margaret Crawford"	personal					DUKE	DDR	
"Adams, Monte"	personal					DUKE	DDR	
"Adams, Ralph Q."	personal					DUKE	DDR	
"Adams, Sarah Eve"	personal					DUKE	DDR	
"Adams, Thomas"	personal					DUKE	DDR	
"Adams, William"	personal					DUKE	DDR	
Addams	personal					DUKE	DDR	
"Addington, Henry Unwin, -1870"	personal					DUKE	DDR	
"Adéclat, Lionel"	personal					DUKE	DDR	
"Adger, John B. (John Bailey), 1810-1899"	personal					DUKE	DDR	
"Adkins, Apphia C."	personal					DUKE	DDR	
"Adolphe, Iphrana"	personal					DUKE	DDR	
"Adolphe, Ludovic (Manzoune)"	personal					DUKE	DDR	
"Adolphe, Reynald"	personal					DUKE	DDR	
Adonias	personal					DUKE	DDR	
"Adrien, Antoine, 1922-2003"	personal					DUKE	DDR	
"Agénor, Frédéric"	personal					DUKE	DDR	
Agitatsionnoe otdelenie	personal					DUKE	DDR	
"Agnant, Josiard"	personal					DUKE	DDR	
"Agnew, Cornelius Rea"	personal					DUKE	DDR	
"Agnew, William G."	personal					DUKE	DDR	
"Agnos, Léant Oreste"	personal					DUKE	DDR	
"Agours, Eglantine"	personal					DUKE	DDR	
"Aichel, Oskar"	personal					DUKE	DDR	
"Aïde, Raymonde Julien"	personal					DUKE	DDR	
Aigner from Monkmeyer	personal					DUKE	DDR	
"Ainslie, Hew, 1792-1878"	personal					DUKE	DDR	
"Aitken, P. Wesley"	personal					DUKE	DDR	
"Ajimal (Frère Dodo, Ludovic Bruno)"	personal					DUKE	DDR	
"Akerman, Joseph L."	personal					DUKE	DDR	
"Akmanov, R."	personal					DUKE	DDR	
"Albright, Madeleine Korbel."	personal					DUKE	DDR	
"Alcé, Emane"	personal					DUKE	DDR	
"Alcimé, Hérold"	personal					DUKE	DDR	
"Alcindor, Monique"	personal					DUKE	DDR	
"Alcorn, James Lusk"	personal					DUKE	DDR	
"Alderman, William"	personal					DUKE	DDR	
"Aldridge, Julian M., Jr."	personal					DUKE	DDR	
Alexander family	personal					DUKE	DDR	
"Alexander, Bettie"	personal					DUKE	DDR	
"Alexander, Captain"	personal					DUKE	DDR	
"Alexander, Edward Porter, 1835-1910"	personal					DUKE	DDR	
"Alexandre, Guy"	personal					DUKE	DDR	
"Alexandre, Léonce"	personal					DUKE	DDR	
"Alexis, Gérald"	personal					DUKE	DDR	
"Alexis, Jacques Édouard"	personal					DUKE	DDR	
"Alezi, Lherisson"	personal					DUKE	DDR	
"Alfonsín, Raúl"	personal					DUKE	DDR	
"Alger, William Rounseville, 1822-1905"	personal					DUKE	DDR	
"Alix, Jacques"	personal					DUKE	DDR	
"Alizar, Viles"	personal					DUKE	DDR	
"Allen, Carline"	personal					DUKE	DDR	
"Allen, David B."	personal					DUKE	DDR	
"Allen, Dwight"	personal					DUKE	DDR	
"Allen, Gertrude"	personal					DUKE	DDR	
"Allen, Horace T., 1933-"	personal					DUKE	DDR	
"Allen, James Lane, 1849-1925"	personal					DUKE	DDR	
"Allen, John"	personal					DUKE	DDR	
"Allen, L. Scott"	personal					DUKE	DDR	
"Allen, Oscar H."	personal					DUKE	DDR	
"Allen, R. Alfred"	personal					DUKE	DDR	
"Allen, Ralph"	personal					DUKE	DDR	
"Allen, Weld Noble, 1837-1875"	personal					DUKE	DDR	
"Allen, William H."	personal					DUKE	DDR	
"Allibone, S. Austin (Samuel Austin), 1816-1889"	personal					DUKE	DDR	
"Allison, Martin O."	personal					DUKE	DDR	
"Allison, William H."	personal					DUKE	DDR	
"Allman, Suzanne"	personal					DUKE	DDR	
"Allston, Benjamin, 1833-1900"	personal					DUKE	DDR	
"Allstrom, Oliver"	personal					DUKE	DDR	
"Alman, Leonard, -1864"	personal					DUKE	DDR	
"Almeron, S. W."	personal					DUKE	DDR	
"Almond, A. D."	personal					DUKE	DDR	
"Alonso Tejada, Aurelio, 1939-"	personal					DUKE	DDR	
"Alouidor, Anthony"	personal					DUKE	DDR	
"Alpert, Jane"	personal					DUKE	DDR	
Alpha Photo Associates	corporate					DUKE	DDR	
"Alphonse, Eunide"	personal					DUKE	DDR	
"Alphonse, Gesner"	personal					DUKE	DDR	
"Alphonse, Jessie"	personal					DUKE	DDR	
"Alston, Charles B."	personal					DUKE	DDR	
"Alston, J. W."	personal					DUKE	DDR	
"Alston, William"	personal					DUKE	DDR	
"Altidor, Franck"	personal					DUKE	DDR	
"Alvarez, Frenel"	personal					DUKE	DDR	
"Alves, Walter, 1768-1819"	personal					DUKE	DDR	
"Amazan, Jean-Libert"	personal					DUKE	DDR	
"Ambler, John, 1762-1838"	personal					DUKE	DDR	
