name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
"Abernethy, Charles Laban, Jr."	personal					ECU	ArchivesSpace	PersonCreator
"Abrams, Doug"	personal					ECU	ArchivesSpace	PersonCreator
"Absolon, Karel B."	personal					ECU	ArchivesSpace	PersonCreator
"Adams, A. Thomas"	personal					ECU	ArchivesSpace	PersonCreator
"Adams, Faye B."	personal					ECU	ArchivesSpace	PersonCreator
"Adams, Frank Wayland"	personal					ECU	ArchivesSpace	PersonCreator
"Adams, Robert W., Mr."	personal					ECU	ArchivesSpace	PersonCreator
"Aguilar, Pedro"	personal					ECU	ArchivesSpace	PersonCreator
"Ainsworth, W.L. (Walden Lee), 1886-1960"	personal					ECU	ArchivesSpace	PersonCreator
"Albertson, Dean"	personal					ECU	ArchivesSpace	PersonCreator
"Albright, Alex"	personal					ECU	ArchivesSpace	PersonCreator
"Albright, Augustus Garland"	personal					ECU	ArchivesSpace	PersonCreator
"Albright, R. Mayne"	personal					ECU	ArchivesSpace	PersonCreator
"Alder, Mavis M."	personal					ECU	ArchivesSpace	PersonCreator
"Alleine, Joseph"	personal					ECU	ArchivesSpace	PersonCreator
"Allen, Oliver Hicks, Hon."	personal					ECU	ArchivesSpace	PersonCreator
"Allen, Sarah S."	personal					ECU	ArchivesSpace	PersonCreator
"Ames, Glenn Charles"	personal					ECU	ArchivesSpace	PersonCreator
"Ammons, A. R. (Archie Randolph)"	personal					ECU	ArchivesSpace	PersonCreator
"Anastasion, Steven N."	personal					ECU	ArchivesSpace	PersonCreator
"Anders, Shirley Bowers"	personal					ECU	ArchivesSpace	PersonCreator
"Anderson, Heather"	personal					ECU	ArchivesSpace	PersonCreator
"Anderson, Mattie Archbell"	personal					ECU	ArchivesSpace	PersonCreator
"Andrews, Guilford"	personal					ECU	ArchivesSpace	PersonCreator
"Andrews, William S."	personal					ECU	ArchivesSpace	PersonCreator
"Anishanslin, Zara"	personal					ECU	ArchivesSpace	PersonCreator
"Applewhite, Laura Augusta Jordan"	personal					ECU	ArchivesSpace	PersonCreator
"Armstrong, David M."	personal					ECU	ArchivesSpace	PersonCreator
"Armstrong, Frank A. (Frank Alton), 1902-1969"	personal					ECU	ArchivesSpace	PersonCreator
"Arrington, Asa Wayne"	personal					ECU	ArchivesSpace	PersonCreator
"Arthur, Sara Holt"	personal					ECU	ArchivesSpace	PersonCreator
"Ashby, Elma J."	personal					ECU	ArchivesSpace	PersonCreator
