name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
Baldree family	family					ECU	Symphony	NCPersName
Barber family	family					ECU	Symphony	NCPersName
Battle family	family					ECU	Symphony	NCPersName
Cobb family	family					ECU	Symphony	NCPersName
Cotton family	family					ECU	Symphony	NCPersName
Davis family	family					ECU	Symphony	NCPersName
Dixon family	family					ECU	Symphony	NCPersName
Doty family	family					ECU	Symphony	NCPersName
Grady family	family					ECU	Symphony	NCPersName
Graffenried family	family					ECU	Symphony	NCPersName
Graham family	family					ECU	Symphony	NCPersName
Hardy family	family					ECU	Symphony	NCPersName
Harris family	family					ECU	Symphony	NCPersName
Haywood family	family					ECU	Symphony	NCPersName
Hicks family	family					ECU	Symphony	NCPersName
Hocutt family	family					ECU	Symphony	NCPersName
Hooper family	family					ECU	Symphony	NCPersName
Jackson family	family					ECU	Symphony	NCPersName
Johnston family	family					ECU	Symphony	NCPersName
Joyner family	family					ECU	Symphony	NCPersName
Knowles family	family					ECU	Symphony	NCPersName
Lassiter family	family					ECU	Symphony	NCPersName
Lawson family	family					ECU	Symphony	NCPersName
Outlaw family	family					ECU	Symphony	NCPersName
Owen family	family					ECU	Symphony	NCPersName
Pettigrew family	family					ECU	Symphony	NCPersName
Petty family	family					ECU	Symphony	NCPersName
Poffenberger family	family					ECU	Symphony	NCPersName
Pratt family	family					ECU	Symphony	NCPersName
Rasco family	family					ECU	Symphony	NCPersName
Rieve family	family					ECU	Symphony	NCPersName
Robertson family	family					ECU	Symphony	NCPersName
"Rountree family (Jesse Rountree, 1765-1831)"	family					ECU	Symphony	NCPersName
Sawyer family	family					ECU	Symphony	NCPersName
Swindell family	family					ECU	Symphony	NCPersName
Tazewell family	family					ECU	Symphony	NCPersName
Thompson family	family					ECU	Symphony	NCPersName
Williams family	family					ECU	Symphony	NCPersName
Winborn family	family					ECU	Symphony	NCPersName
Wolfe family	family					ECU	Symphony	NCPersName
Wood family	family					ECU	Symphony	NCPersName
"Abbott, A. O. (Allen O.)"	personal					ECU	Symphony	NCPersName
"Abbott, Joseph Carter, 1825-1882"	personal					ECU	Symphony	NCPersName
"Abernethy, Arthur Talmage, 1872-1956"	personal					ECU	Symphony	NCPersName
Abraham (Biblical patriarch)	personal					ECU	Symphony	NCPersName
"Abrahams, William Miller, 1919-1998"	personal					ECU	Symphony	NCPersName
"Abshier, Sam"	personal					ECU	Symphony	NCPersName
"Adair, James, approximately 1709-1783"	personal					ECU	Symphony	NCPersName
"Adair, Suzanne"	personal					ECU	Symphony	NCPersName
"Adams, Agatha Boyd"	personal					ECU	Symphony	NCPersName
"Adams, Alice, 1926-1999"	personal					ECU	Symphony	NCPersName
"Adams, Beulah"	personal					ECU	Symphony	NCPersName
"Adams, Crosby, Mrs., 1858-1951"	personal					ECU	Symphony	NCPersName
"Adams, Ellery"	personal					ECU	Symphony	NCPersName
"Adams, Ernest G."	personal					ECU	Symphony	NCPersName
"Adams, Eve"	personal					ECU	Symphony	NCPersName
"Adams, James, 1724?-1792"	personal					ECU	Symphony	NCPersName
"Adams, Katherine"	personal					ECU	Symphony	NCPersName
"Adams, S. D."	personal					ECU	Symphony	NCPersName
"Adams, Sheila Kay"	personal					ECU	Symphony	NCPersName
"Adamson, Sydney"	personal					ECU	Symphony	NCPersName
"Ader, Paul, 1919-2000"	personal					ECU	Symphony	NCPersName
"Ake, Eli D."	personal					ECU	Symphony	NCPersName
"Albers, Anni"	personal					ECU	Symphony	NCPersName
"Albers, Josef"	personal					ECU	Symphony	NCPersName
"Albertson, Catherine, 1868-1954"	personal					ECU	Symphony	NCPersName
"Albright, Alex"	personal					ECU	Symphony	NCPersName
"Albright, James W., 1835-1917"	personal					ECU	Symphony	NCPersName
"Albright, Mayne"	personal					ECU	Symphony	NCPersName
"Alderman, Edwin Anderson, 1861-1931"	personal					ECU	Symphony	NCPersName
"Aldridge, John W."	personal					ECU	Symphony	NCPersName
"Alexander, J. B."	personal					ECU	Symphony	NCPersName
"Alexander, J. D."	personal					ECU	Symphony	NCPersName
"Alexander, Kianna"	personal					ECU	Symphony	NCPersName
"Alexander, Sandra Carlton, 1947-"	personal					ECU	Symphony	NCPersName
"Alexander, Thomas W."	personal					ECU	Symphony	NCPersName
"Alexander, Violet G."	personal					ECU	Symphony	NCPersName
"Allee, Marjorie Hill, 1890-1945"	personal					ECU	Symphony	NCPersName
"Allen, Geo. H. (George H.)"	personal					ECU	Symphony	NCPersName
"Allen, Joyce, 1931-"	personal					ECU	Symphony	NCPersName
"Allen, Risden T."	personal					ECU	Symphony	NCPersName
"Allen, Sarah Addison"	personal					ECU	Symphony	NCPersName
"Allen, Sarah S."	personal					ECU	Symphony	NCPersName
"Allen, Sidney B."	personal					ECU	Symphony	NCPersName
"Allen, Thomas B."	personal					ECU	Symphony	NCPersName
"Allen, Thomas B. (Thomas Burt), 1928-2004"	personal					ECU	Symphony	NCPersName
"Allen, Tom Turner"	personal					ECU	Symphony	NCPersName
"Allen, Victor"	personal					ECU	Symphony	NCPersName
"Allen, W. C. (William Cicero), 1859-1952"	personal					ECU	Symphony	NCPersName
"Alley, Howard Eugene, 1924-"	personal					ECU	Symphony	NCPersName
"Allison, David P."	personal					ECU	Symphony	NCPersName
"Alonzo, Rebecca Nichols"	personal					ECU	Symphony	NCPersName
Aloysious	personal					ECU	Symphony	NCPersName
"Alston, E. B."	personal					ECU	Symphony	NCPersName
"Alston, Theodosia Burr, 1783-1813"	personal					ECU	Symphony	NCPersName
"Alterman, Steve"	personal					ECU	Symphony	NCPersName
"Altmayer, Bud"	personal					ECU	Symphony	NCPersName
"Alvord, Douglas"	personal					ECU	Symphony	NCPersName
