name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	Institution	source_system	collection	source					
North Carolina State University. Libraries. Special Collections Research Center	corporate					NCSU	ArchivesSpace		local					
National 4-H Council (U.S.)	corporate				http://lccn.loc.gov/n86040153	NCSU	ArchivesSpace		lcnaf					
Tau Beta Pi -- History	corporate					NCSU	ArchivesSpace		lcnaf					
American Chemical Society. North Carolina Section	corporate				http://lccn.loc.gov/n88024988	NCSU	ArchivesSpace		lcnaf					
Conservation Council of North Carolina	corporate				http://lccn.loc.gov/no2002105630	NCSU	ArchivesSpace		lcnaf					
Farmers' State Alliance of North Carolina	corporate				http://lccn.loc.gov/n00073452	NCSU	ArchivesSpace		lcnaf					
National Farmers' Alliance	corporate				http://lccn.loc.gov/no2006090618	NCSU	ArchivesSpace		lcnaf					
North Carolina Board of Farm Organizations and Agricultural Agencies	corporate					NCSU	ArchivesSpace		local					
North Carolina Committee to End the War in Indochina	corporate				http://lccn.loc.gov/n00063457	NCSU	ArchivesSpace		lcnaf					
Soil Conservation Society of America. North Carolina Chapter	corporate				https://lccn.loc.gov/no2017125253	NCSU	ArchivesSpace		lcnaf					
"Tracerlab, Inc."	corporate				http://lccn.loc.gov/no2009013489	NCSU	ArchivesSpace		lcnaf					
Sierra Club	corporate				http://lccn.loc.gov/n79027101	NCSU	ArchivesSpace		lcnaf					
Raleigh High School	corporate					NCSU	ArchivesSpace		local					
ASPECT (Project)	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Office of the Administrative Dean for Research	corporate					NCSU	ArchivesSpace		local					
Duke University	corporate				http://lccn.loc.gov/n80008725	NCSU	ArchivesSpace		lcnaf					
"S. H. Tomlinson House (High Point, N.C.)"	corporate					NCSU	ArchivesSpace		local					
North Carolina State College -- Basketball	corporate					NCSU	ArchivesSpace		local					
"Coastal Plain Test Farm (Willard, N.C.)"	corporate					NCSU	ArchivesSpace		local					
Osborne Computer Corporation	corporate				http://lccn.loc.gov/n84006700	NCSU	ArchivesSpace		lcnaf					
North Carolina. Department of Conservation and Development	corporate				http://lccn.loc.gov/n82052548	NCSU	ArchivesSpace		lcnaf					
"Market Street Services, Inc. (Atlanta, G.A.)"	corporate					NCSU	ArchivesSpace		local					
"North Carolina Research Campus Report (Kannapolis, N.C.)"	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Staff Senate	corporate					NCSU	ArchivesSpace		local					
Backyard gardener	corporate					NCSU	ArchivesSpace		local					
North Carolina State College. Department of Entomology	corporate					NCSU	ArchivesSpace		local					
North Carolina State College. School of Design -- Administration	corporate					NCSU	ArchivesSpace		local					
"United States. Navy -- Recruiting, enlistment, etc."	corporate				https://lccn.loc.gov/sh85140996	NCSU	ArchivesSpace		lcnaf					
North Carolina. Speaker Ban Study Commission	corporate				http://lccn.loc.gov/n86149186	NCSU	ArchivesSpace		lcnaf					
University of North Carolina at Greensboro. Department of Sociology--Faculty	corporate					NCSU	ArchivesSpace		local					
"Biberstein, Bowles, Meacham and Reed"	corporate					NCSU	ArchivesSpace		local					
North Carolina State College -- Alumni and alumnae	corporate					NCSU	ArchivesSpace		local					
North Carolina State College. Department of Mathematics -- Faculty	corporate					NCSU	ArchivesSpace		local					
North Carolina State College. Department of Philosophy and Religion -- Faculty	corporate					NCSU	ArchivesSpace		local					
Nickels for Know-How	corporate					NCSU	ArchivesSpace		local					
North Carolina State College. Varsity Athletics -- Wrestling	corporate					NCSU	ArchivesSpace		ingest					
Sigma Chi Fraternity. Delta Epsilon Chapter (North Carolina State College)	corporate					NCSU	ArchivesSpace		local					
North Carolina State College -- Students -- Social life and customs	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Department of Engineering	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State University. Libraries. Acquisition Department	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Libraries. Collection Development and Organization Department	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Visual Aids Department	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. College of Agriculture and Life Sciences -- Photographs	corporate					NCSU	ArchivesSpace		lcnaf					
North Carolina Rail-Trails (Organization)	corporate				https://lccn.loc.gov/no2011137637	NCSU	ArchivesSpace		lcnaf					
North Carolina State University. Department of Landscape Architecture -- Faculty	corporate					NCSU	ArchivesSpace		local					
"North Carolina State University. Office of the Vice Chancellor for Research, Outreach, and Extension"	corporate					NCSU	ArchivesSpace		local					
North Carolina. Speaker Ban Law	corporate				https://lccn.loc.gov/no2008163790	NCSU	ArchivesSpace		lcnaf					
North Carolina State College. School of Engineering	corporate				http://lccn.loc.gov/n81103392	NCSU	ArchivesSpace		lcnaf					
North Carolina State College. School of Engineering -- Students	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Department of History. Public History Program	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State University. Department of Ceramic Engineering	corporate					NCSU	ArchivesSpace		ingest					
Salubrium Mental Health Clinic	corporate					NCSU	ArchivesSpace		local					
Alabama School of Fine Arts	corporate				http://lccn.loc.gov/n85098374	NCSU	ArchivesSpace		lcnaf					
North Carolina Vietnam Veterans Highway Memorial	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Army ROTC -- Photographs	corporate					NCSU	ArchivesSpace		local					
Duke University. Department of Civil Engineering	corporate				http://lccn.loc.gov/n80151470	NCSU	ArchivesSpace		lcnaf					
North Carolina. Highway Study Commission	corporate				http://lccn.loc.gov/n88285514	NCSU	ArchivesSpace		lcnaf					
Western Electric Company	corporate				http://lccn.loc.gov/n50064949	NCSU	ArchivesSpace		lcnaf					
Institute of Electrical and Electronics Engineers	corporate				http://lccn.loc.gov/n79053217	NCSU	ArchivesSpace		lcnaf					
Chi Epsilon (U.S.)	corporate				http://lccn.loc.gov/n81085992	NCSU	ArchivesSpace		lcnaf					
