name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
"Abbasi, Muhammad Hammad"	personal					NCSU	Dspace	1840.20/24
"Abbasian Hosseini, Seyed Alireza"	personal					NCSU	Dspace	1840.20/24
"Abbati De Assis, Camilla"	personal					NCSU	Dspace	1840.20/24
"Abbey, Ralph Walter"	personal					NCSU	Dspace	1840.20/24
"Abbott, David Scot"	personal					NCSU	Dspace	1840.20/24
"Abd Rahim, Nur Aira Binti"	personal					NCSU	Dspace	1840.20/24
"Abdala, Ahmed AbdelHay Ahmed"	personal					NCSU	Dspace	1840.20/24
"Abdalaal, Yousef Mahfouz"	personal					NCSU	Dspace	1840.20/24
"Abdel-Aziz, Amr Mohamed Osama"	personal					NCSU	Dspace	1840.20/24
"Abdelgawad, Abdelrahman Mohamed"	personal					NCSU	Dspace	1840.20/24
"Abdeljawad, Fadi Faeq"	personal					NCSU	Dspace	1840.20/24
"Abdel-Khalik, Hany Samy"	personal					NCSU	Dspace	1840.20/24
"Abdel-Khalik, Hany Samy"	personal					NCSU	Dspace	1840.20/24
"Abdelmaksoud, Mohamed Khairalla"	personal					NCSU	Dspace	1840.20/24
"Abdi, Omid"	personal					NCSU	Dspace	1840.20/24
"Abdo, Mohammad Gamal M. Mostafa"	personal					NCSU	Dspace	1840.20/24
"Abdrahim, Nur Aira binti"	personal					NCSU	Dspace	1840.20/24
"ABDULLAH, SAIF-AL-DIN MOHD"	personal					NCSU	Dspace	1840.20/24
"Abele, Matthew Robert"	personal					NCSU	Dspace	1840.20/24
"Aberg, Bryce"	personal					NCSU	Dspace	1840.20/24
"Aberg, Christopher Mark"	personal					NCSU	Dspace	1840.20/24
"Aberg, Lissete Betancur"	personal					NCSU	Dspace	1840.20/24
"Abernathy, Kristen"	personal					NCSU	Dspace	1840.20/24
"Abernathy, Zachary"	personal					NCSU	Dspace	1840.20/24
"Abhinavam Kailasanathan, Ranjith Kumar"	personal					NCSU	Dspace	1840.20/24
"Abhinavam Kailasanathan, Ranjith Kumar"	personal					NCSU	Dspace	1840.20/24
"Abit, Pamela Po"	personal					NCSU	Dspace	1840.20/24
"Abit, Sergio Manacpo, Jr."	personal					NCSU	Dspace	1840.20/24
"Abit, Sergio Manacpo, Jr."	personal					NCSU	Dspace	1840.20/24
"Abney, Mark Ray"	personal					NCSU	Dspace	1840.20/24
"Abolhasani, Saeed"	personal					NCSU	Dspace	1840.20/24
"Absher, John"	personal					NCSU	Dspace	1840.20/24
"Acharya, Mithun Puthige"	personal					NCSU	Dspace	1840.20/24
"Acharya, Mithun Puthige"	personal					NCSU	Dspace	1840.20/24
"ACHARYA, PINAKI"	personal					NCSU	Dspace	1840.20/24
"Acheampong, Cassandra Dixon"	personal					NCSU	Dspace	1840.20/24
"Achinivu, Ezinne C"	personal					NCSU	Dspace	1840.20/24
"Ackermann, Nicole"	personal					NCSU	Dspace	1840.20/24
"Acquesta, Erin Carolyn Solfiell"	personal					NCSU	Dspace	1840.20/24
"Adair, Jeannie Elizabeth"	personal					NCSU	Dspace	1840.20/24
"Adami dos Passos, Adsos"	personal					NCSU	Dspace	1840.20/24
"Adamopoulos, Lambrini"	personal					NCSU	Dspace	1840.20/24
"Adams, Brendan"	personal					NCSU	Dspace	1840.20/24
"Adams, Brian Michael"	personal					NCSU	Dspace	1840.20/24
"Adams, Brooke Nicole"	personal					NCSU	Dspace	1840.20/24
"Adams, Elizabeth Hope"	personal					NCSU	Dspace	1840.20/24
"Adams, Elizabeth Kent"	personal					NCSU	Dspace	1840.20/24
"Adams, Elizabeth Lynn"	personal					NCSU	Dspace	1840.20/24
"Adams, Gregory Scott"	personal					NCSU	Dspace	1840.20/24
"Adams, Javon Marcell"	personal					NCSU	Dspace	1840.20/24
"Adams, John William"	personal					NCSU	Dspace	1840.20/24
"Adams, Kenneth Raymond"	personal					NCSU	Dspace	1840.20/24
"Adams, Melissa Beth"	personal					NCSU	Dspace	1840.20/24
"Adams, Meredith"	personal					NCSU	Dspace	1840.20/24
"Adams, Paul Richard"	personal					NCSU	Dspace	1840.20/24
"Adams, Robyn Elizabeth"	personal					NCSU	Dspace	1840.20/24
"Adams, Stephen Michael"	personal					NCSU	Dspace	1840.20/24
"Adams, Veronica Lynn"	personal					NCSU	Dspace	1840.20/24
"Adamski, Kyle Michael"	personal					NCSU	Dspace	1840.20/24
"Adcock, Bess Currin"	personal					NCSU	Dspace	1840.20/24
"Adcock, David Brooks, Jr"	personal					NCSU	Dspace	1840.20/24
"Addington, Cody Kenneth"	personal					NCSU	Dspace	1840.20/24
"Addington, David"	personal					NCSU	Dspace	1840.20/24
"Addor, Mary"	personal					NCSU	Dspace	1840.20/24
"Addy, Tracie"	personal					NCSU	Dspace	1840.20/24
"Ade, Christiana"	personal					NCSU	Dspace	1840.20/24
"Adebambo, Oluwadamilare"	personal					NCSU	Dspace	1840.20/24
"Adedipe, Folukemi Ebunoluwa"	personal					NCSU	Dspace	1840.20/24
"Adekore, Bunmi Tolu"	personal					NCSU	Dspace	1840.20/24
"Adewale, Heather Leigh Bateman"	personal					NCSU	Dspace	1840.20/24
"Adhikari, Akshay Arun"	personal					NCSU	Dspace	1840.20/24
"Adhikari, Pragya"	personal					NCSU	Dspace	1840.20/24
"Adhikari, Prajesh"	personal					NCSU	Dspace	1840.20/24
"Adhikari, Sahana Das"	personal					NCSU	Dspace	1840.20/24
"Adiga, Shashishekar Parampalli"	personal					NCSU	Dspace	1840.20/24
"Adikorley, Ruth Dede Badzo Narh"	personal					NCSU	Dspace	1840.20/24
"Adilapuram, Srinivas"	personal					NCSU	Dspace	1840.20/24
"Adkins, Jeffrey A"	personal					NCSU	Dspace	1840.20/24
"Adles, Eric J."	personal					NCSU	Dspace	1840.20/24
"Adoteye, Kaska"	personal					NCSU	Dspace	1840.20/24
"Adu-Gyamfi, Kwaku"	personal					NCSU	Dspace	1840.20/24
"Adu-Gyamfi, Kwaku"	personal					NCSU	Dspace	1840.20/24
"Afiat Milani, Alireza"	personal					NCSU	Dspace	1840.20/24
"Aframian, Moran"	personal					NCSU	Dspace	1840.20/24
"Afroz, Taliman"	personal					NCSU	Dspace	1840.20/24
"Afroz, Taliman"	personal					NCSU	Dspace	1840.20/24
"Agarwal, Aditi"	personal					NCSU	Dspace	1840.20/24
"Agarwal, Avesh Kumar"	personal					NCSU	Dspace	1840.20/24
"Agarwal, Monam"	personal					NCSU	Dspace	1840.20/24
"Agarwal, Prasheen Kumar"	personal					NCSU	Dspace	1840.20/24
"Agarwala, Ranjeet"	personal					NCSU	Dspace	1840.20/24
"Agashe, Rushikesh Vivek"	personal					NCSU	Dspace	1840.20/24
"Aggarwal, Ravi"	personal					NCSU	Dspace	1840.20/24
"Aggarwal, Sachin"	personal					NCSU	Dspace	1840.20/24
"Aghazadeh Ardebili, Zahra"	personal					NCSU	Dspace	1840.20/24
"Aghdashi, Seyedbehzad"	personal					NCSU	Dspace	1840.20/24
"Agler, Caryline Salzmann"	personal					NCSU	Dspace	1840.20/24
"Agostini, Gina Marie"	personal					NCSU	Dspace	1840.20/24
"Agrawal, Abhinav Rajiv"	personal					NCSU	Dspace	1840.20/24
"Agrawal, Mani Kant"	personal					NCSU	Dspace	1840.20/24
"Agrawal, Manisha"	personal					NCSU	Dspace	1840.20/24
"Agrawal, Pankaj"	personal					NCSU	Dspace	1840.20/24
"Aguda, Remil Martinez"	personal					NCSU	Dspace	1840.20/24
"Aguda, Remil Martinez"	personal					NCSU	Dspace	1840.20/24
"Aguiar, Vitor Heringer de"	personal					NCSU	Dspace	1840.20/24
"Aguilar, Robert"	personal					NCSU	Dspace	1840.20/24
"Aguirre Realpe, Diego Armando"	personal					NCSU	Dspace	1840.20/24
"Agvaanluvsan, Undraa"	personal					NCSU	Dspace	1840.20/24
"Ahern, Katherine"	personal					NCSU	Dspace	1840.20/24
"Ahern, Lisa Senatore"	personal					NCSU	Dspace	1840.20/24
"Ahern, Lisa Senatore"	personal					NCSU	Dspace	1840.20/24
"Ahiska, Semra Sebnem"	personal					NCSU	Dspace	1840.20/24
"Ahlborn, Eugene"	personal					NCSU	Dspace	1840.20/24
"Ahluwalia, Harshdeep Singh"	personal					NCSU	Dspace	1840.20/24
"Ahmad, Harun"	personal					NCSU	Dspace	1840.20/24
"Ahmad, Iftekhar"	personal					NCSU	Dspace	1840.20/24
"Ahmad, Unber Saeed"	personal					NCSU	Dspace	1840.20/24
"Ahmed, Adeeb"	personal					NCSU	Dspace	1840.20/24
"Ahmed, Ishtiak"	personal					NCSU	Dspace	1840.20/24
"Ahmed, Md. Mansur"	personal					NCSU	Dspace	1840.20/24
"Ahmed, Md. Mansur"	personal					NCSU	Dspace	1840.20/24
"Ahmed, Neveen Abd El-Aziz Hussein"	personal					NCSU	Dspace	1840.20/24
"Ahmed, Raasheduddin"	personal					NCSU	Dspace	1840.20/24
"Ahmed, Shamshad"	personal					NCSU	Dspace	1840.20/24
"Ahmed, Sharmina"	personal					NCSU	Dspace	1840.20/24
