name	name_type	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
"Aartsen, Hannie"	personal				NCSU	Dspace	1840.20/8
"Abbas, H."	personal				NCSU	Dspace	1840.20/8
"Abbas, Hassan"	personal				NCSU	Dspace	1840.20/8
"Abbott, Rebecca A."	personal				NCSU	Dspace	1840.20/8
"Abd-Rahman, Mohd-Nawi Bin"	personal				NCSU	Dspace	1840.20/8
"Abe, Hiroshi"	personal				NCSU	Dspace	1840.20/8
"Abe, K."	personal				NCSU	Dspace	1840.20/8
"Abe, T."	personal				NCSU	Dspace	1840.20/8
"Abe, Y."	personal				NCSU	Dspace	1840.20/8
"Abel, A."	personal				NCSU	Dspace	1840.20/8
"Abernathy, James R."	personal				NCSU	Dspace	1840.20/8
"Abernethy, Stephen"	personal				NCSU	Dspace	1840.20/8
"Gupta, Abhinav"	personal				NCSU	Dspace	1840.20/8
"Abonneau, E."	personal				NCSU	Dspace	1840.20/8
"Abou-El-Fittouh, H. A."	personal				NCSU	Dspace	1840.20/8
"AbouRizk, S.M."	personal				NCSU	Dspace	1840.20/8
"AbouRizk, Simaan"	personal				NCSU	Dspace	1840.20/8
"AbouRizk, Simaan M."	personal				NCSU	Dspace	1840.20/8
"Abraham, B."	personal				NCSU	Dspace	1840.20/8
"Abraham, Dulcy M."	personal				NCSU	Dspace	1840.20/8
"Abrams, Marc"	personal				NCSU	Dspace	1840.20/8
"Abranovic, Wynn A."	personal				NCSU	Dspace	1840.20/8
"Abu-Ghazaleh, Nael B."	personal				NCSU	Dspace	1840.20/8
"Abul-ata, Mohamed Futuah"	personal				NCSU	Dspace	1840.20/8
"Aburdene, Maurice F."	personal				NCSU	Dspace	1840.20/8
"Acampora, A."	personal				NCSU	Dspace	1840.20/8
"Acharya, Mithun"	personal				NCSU	Dspace	1840.20/8
"Achyutha, H."	personal				NCSU	Dspace	1840.20/8
"Acker, D."	personal				NCSU	Dspace	1840.20/8
"Ackermann, R."	personal				NCSU	Dspace	1840.20/8
"Ackleh, Azmy S."	personal				NCSU	Dspace	1840.20/8
"Acosta, Beatriz"	personal				NCSU	Dspace	1840.20/8
"Adachi, Hiromi"	personal				NCSU	Dspace	1840.20/8
"Adachi, M."	personal				NCSU	Dspace	1840.20/8
"Adachi, Naoyuki"	personal				NCSU	Dspace	1840.20/8
"Adachi, S."	personal				NCSU	Dspace	1840.20/8
"Adali, Tulay"	personal				NCSU	Dspace	1840.20/8
"Fila, Adam"	personal				NCSU	Dspace	1840.20/8
"Adams, A. R."	personal				NCSU	Dspace	1840.20/8
"Adams, Brian Michael"	personal				NCSU	Dspace	1840.20/8
"Adams, Fred T."	personal				NCSU	Dspace	1840.20/8
"Adams, Ian J."	personal				NCSU	Dspace	1840.20/8
"Adams, John William"	personal				NCSU	Dspace	1840.20/8
"Adams, Loyce"	personal				NCSU	Dspace	1840.20/8
"Adams, T.M."	personal				NCSU	Dspace	1840.20/8
"Adaniya, Oscar"	personal				NCSU	Dspace	1840.20/8
"Adelman, Daniel"	personal				NCSU	Dspace	1840.20/8
"Adelman, Frank L."	personal				NCSU	Dspace	1840.20/8
"Adelman, Irma"	personal				NCSU	Dspace	1840.20/8
"Adelsberger, Heimo H."	personal				NCSU	Dspace	1840.20/8
"Adin, M.A."	personal				NCSU	Dspace	1840.20/8
"Adkins, Gerald W."	personal				NCSU	Dspace	1840.20/8
"Adlassnig, Klaus-Peter"	personal				NCSU	Dspace	1840.20/8
"Adler, George L."	personal				NCSU	Dspace	1840.20/8
"Adler, R. J."	personal				NCSU	Dspace	1840.20/8
"Adoteye, K.,"	personal				NCSU	Dspace	1840.20/8
"Vulpe, Adrian"	personal				NCSU	Dspace	1840.20/8
"Adroguer, B."	personal				NCSU	Dspace	1840.20/8
"Ads, Michel"	personal				NCSU	Dspace	1840.20/8
"Afrati, F."	personal				NCSU	Dspace	1840.20/8
"Afshar, Nader"	personal				NCSU	Dspace	1840.20/8
"Agbormbai, James Tataw"	personal				NCSU	Dspace	1840.20/8
"Aggarwal, Anand S."	personal				NCSU	Dspace	1840.20/8
"Aggarwal, Anil"	personal				NCSU	Dspace	1840.20/8
"Aggarwal, Ved"	personal				NCSU	Dspace	1840.20/8
"Agin, Norman I."	personal				NCSU	Dspace	1840.20/8
"Agopyan, V."	personal				NCSU	Dspace	1840.20/8
"Agrawal, Dharma P."	personal				NCSU	Dspace	1840.20/8
"Agrawal, Divyakant"	personal				NCSU	Dspace	1840.20/8
"Agrawal, M.K."	personal				NCSU	Dspace	1840.20/8
"Agre, J."	personal				NCSU	Dspace	1840.20/8
"Agre, J. R."	personal				NCSU	Dspace	1840.20/8
"Agre, Jonathan R."	personal				NCSU	Dspace	1840.20/8
"Agrenius, Lennart"	personal				NCSU	Dspace	1840.20/8
"Agresti, William W."	personal				NCSU	Dspace	1840.20/8
"Aguilar, J."	personal				NCSU	Dspace	1840.20/8
"Agung, I. N."	personal				NCSU	Dspace	1840.20/8
"Ahlstrand, R."	personal				NCSU	Dspace	1840.20/8
"Ahmad, Moyeen"	personal				NCSU	Dspace	1840.20/8
"Ahmadi, Javad H."	personal				NCSU	Dspace	1840.20/8
"Ahmed, Mesbah U."	personal				NCSU	Dspace	1840.20/8
"Ahmed, Mohamed A."	personal				NCSU	Dspace	1840.20/8
"Ahmed, S. A."	personal				NCSU	Dspace	1840.20/8
"Ahmed, Susan W."	personal				NCSU	Dspace	1840.20/8
"Ahn,   H.Y."	personal				NCSU	Dspace	1840.20/8
"Ahn, Jeongyoun"	personal				NCSU	Dspace	1840.20/8
"Ahn, S. K."	personal				NCSU	Dspace	1840.20/8
"Ahn, Seok Hwan"	personal				NCSU	Dspace	1840.20/8
"Aho, Alan C."	personal				NCSU	Dspace	1840.20/8
"Ahrabli, Reza"	personal				NCSU	Dspace	1840.20/8
"Ahrens, J. H."	personal				NCSU	Dspace	1840.20/8
"Ahsanullah, M."	personal				NCSU	Dspace	1840.20/8
"Aida, S."	personal				NCSU	Dspace	1840.20/8
"Aida, Y."	personal				NCSU	Dspace	1840.20/8
"Aifantis, Elias C."	personal				NCSU	Dspace	1840.20/8
"Aigner, Martin"	personal				NCSU	Dspace	1840.20/8
"Aikawa, Y."	personal				NCSU	Dspace	1840.20/8
"Aiken, Peter"	personal				NCSU	Dspace	1840.20/8
"Ainsworth, R.A."	personal				NCSU	Dspace	1840.20/8
"Ainsworth, Robert A."	personal				NCSU	Dspace	1840.20/8
"Airan, Damodar S."	personal				NCSU	Dspace	1840.20/8
"Airan, Lalita D."	personal				NCSU	Dspace	1840.20/8
"Airth, John Malcolm"	personal				NCSU	Dspace	1840.20/8
"Aitken, Michael D."	personal				NCSU	Dspace	1840.20/8
"Akao, Y."	personal				NCSU	Dspace	1840.20/8
"Akasaka,   N."	personal				NCSU	Dspace	1840.20/8
"Akasaka, M."	personal				NCSU	Dspace	1840.20/8
"Akhand, Shamsul Alam"	personal				NCSU	Dspace	1840.20/8
"Akiba, H."	personal				NCSU	Dspace	1840.20/8
"Akiba, Hiroshi"	personal				NCSU	Dspace	1840.20/8
"Akiba, Yoichi"	personal				NCSU	Dspace	1840.20/8
"Akin, Ozdemir"	personal				NCSU	Dspace	1840.20/8
"Akino, K."	personal				NCSU	Dspace	1840.20/8
"Miyamoto, Akinori"	personal				NCSU	Dspace	1840.20/8
"Shimizu, Akira"	personal				NCSU	Dspace	1840.20/8
"Akita, Shodo"	personal				NCSU	Dspace	1840.20/8
"Akita, Yasuyuki"	personal				NCSU	Dspace	1840.20/8
"Akiyama, H."	personal				NCSU	Dspace	1840.20/8
"Akiyama, K."	personal				NCSU	Dspace	1840.20/8
"Akiyama, Kazunori"	personal				NCSU	Dspace	1840.20/8
"Akiyama, M."	personal				NCSU	Dspace	1840.20/8
"Akselrod, A.F."	personal				NCSU	Dspace	1840.20/8
"Aktaa, J."	personal				NCSU	Dspace	1840.20/8
"Aktaa, Jarir"	personal				NCSU	Dspace	1840.20/8
"Akutagawa, Lawrence T."	personal				NCSU	Dspace	1840.20/8
"Akyamac, Ahmet A."	personal				NCSU	Dspace	1840.20/8
"Combescure, Alain"	personal				NCSU	Dspace	1840.20/8
"Rubin, Alan"	personal				NCSU	Dspace	1840.20/8
"Alan, A."	personal				NCSU	Dspace	1840.20/8
"Al-Aomar, Raid"	personal				NCSU	Dspace	1840.20/8
"Alattar, Adnan M."	personal				NCSU	Dspace	1840.20/8
"Albaladejo, S."	personal				NCSU	Dspace	1840.20/8
"Albaladejo. S., Lejeail"	personal				NCSU	Dspace	1840.20/8
"Albanes, W. V."	personal				NCSU	Dspace	1840.20/8
"Albanese, R. A."	personal				NCSU	Dspace	1840.20/8
"Albano, Ricardo Cavalcante"	personal				NCSU	Dspace	1840.20/8
"Albay, F.Z.R."	personal				NCSU	Dspace	1840.20/8
"Albay, Fe Zinnia"	personal				NCSU	Dspace	1840.20/8
"Albert, Daniel B."	personal				NCSU	Dspace	1840.20/8
"Albertini, C."	personal				NCSU	Dspace	1840.20/8
"Albertini, Carlo"	personal				NCSU	Dspace	1840.20/8
"Alberts, Henry C."	personal				NCSU	Dspace	1840.20/8
"Alborzi, F"	personal				NCSU	Dspace	1840.20/8
"Albrecht, C.H."	personal				NCSU	Dspace	1840.20/8
"Albrecht, Giancarlo"	personal				NCSU	Dspace	1840.20/8
"Albrecht, K."	personal				NCSU	Dspace	1840.20/8
"Albuquerque, L.B."	personal				NCSU	Dspace	1840.20/8
"Aldershof, Brian Kent"	personal				NCSU	Dspace	1840.20/8
"Aldowaisan, T. A."	personal				NCSU	Dspace	1840.20/8
"Asfura, Alejandro P."	personal				NCSU	Dspace	1840.20/8
"Alekseev, V.M."	personal				NCSU	Dspace	1840.20/8
"Martelli, Alessandro"	personal				NCSU	Dspace	1840.20/8
"Tutnov, Alexander A."	personal				NCSU	Dspace	1840.20/8
"Alexander, Charles H."	personal				NCSU	Dspace	1840.20/8
"Alexander, D.J."	personal				NCSU	Dspace	1840.20/8
"Alexander, Douglas"	personal				NCSU	Dspace	1840.20/8
"Alexander, S. M."	personal				NCSU	Dspace	1840.20/8
"Alexander, S. Thomas"	personal				NCSU	Dspace	1840.20/8
"Alexander, Suraj M."	personal				NCSU	Dspace	1840.20/8
