name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
"'Ali ibn Ridwan, d. ca. 1068."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"À Beckett, G. A., Mrs., 1817?-1863."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"À Beckett, Gilbert Abbott, 1811-1856."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
A. B.						UNCCH	CONTENTdm	Shared Name Vocabulary 
A. C.						UNCCH	CONTENTdm	Shared Name Vocabulary 
A. E.						UNCCH	CONTENTdm	Shared Name Vocabulary 
A. Fray.						UNCCH	CONTENTdm	Shared Name Vocabulary 
A. Hoen & Co.	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
A. Lafont.						UNCCH	CONTENTdm	Shared Name Vocabulary 
A. McLean Lith.						UNCCH	CONTENTdm	Shared Name Vocabulary 
A. Phillip Randolph Institute.	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
A.B. Kidder's Music Typography.	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Aa, Pieter van der, 1659-1733."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Aaron, Junie Edna Kaylor, b. 1904."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abadie, Ann J."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abadie, H. Dale."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abbaspour, Teharani Fard Ali."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
Abbaye du Mont-Saint-Eloi.						UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abbot, Asahel."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abbott, Dorothy, 1944-"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abbott, Lisa."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abdul-Haqq, Saudah, 1948-"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abdus-Salam, N."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abel, George."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abel, J. L."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abel, Joanne."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abel, Richard Michael."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abercrombie, Beatrice."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abernathy, Cathy."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abernathy, Ralph, 1926-1990."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abernathy, Yates."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abernethy, Alice Davis Miller."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abernethy, Benjamin Scott."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abernethy, Minna."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abert, T."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
Aboukir (Cruiser)	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abrahams, Harold J."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abrams, Ire."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abrams, Steve, 1946-"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abramson, Carrie, 1969?-"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abt, Franz, 1819-1885."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Abu al-Qasim Khalaf ibn 'Abbas al-Zahrawi, d. 1013?"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Acevedo, Jesus."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Ackerman, Erin S."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Ackerman, George W."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Ackerman, S."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Ackermann, Rose Bernard."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
Ackland Art Museum.	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Ackland, William Hayes, 1855-1940."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Acree, Rudolph."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Acuff, Molly."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adair, James, ca. 1709-1783."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adalbert, Prince of Prussia, 1884-1948."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
Adam (Biblical figure)	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
Adam and Charles Black (Firm)	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
Adam Versényi						UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adam, Adolphe, 1803-1856."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adam, Louis, 1758-1848."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adams, Alfred T."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adams, Brock, 1927-2004."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adams, C. T."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
