name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
Aalfs, Cora M	personal		Creator			UNCCH	CDR	
Aarons, Gregory A	personal		Creator			UNCCH	CDR	
Aaronson, Neil K	personal		Creator			UNCCH	CDR	
Aasa-Chapman, Marlen M	personal		Creator			UNCCH	CDR	
Abadie, Brenton	personal		Creator			UNCCH	CDR	
Abadie, Jerome	personal		Creator			UNCCH	CDR	
Abarbanell, Jeffery	personal		Thesis advisor			UNCCH	CDR	
Abashian, Sevan Mark	personal		Creator			UNCCH	CDR	
Abate, Anna	personal		Creator			UNCCH	CDR	
Abbas, Atheir I.	personal		Creator			UNCCH	CDR	
Abbas, Zaheer	personal		Creator			UNCCH	CDR	
Abbate, Lauren M.	personal		Creator			UNCCH	CDR	
Abbott, J	personal		Creator			UNCCH	CDR	
Abbott, Jodi F	personal		Creator			UNCCH	CDR	
Abbott, Rachel M.	personal		Creator			UNCCH	CDR	
Abboud, Hanna E	personal		Creator			UNCCH	CDR	
Abdelli, Latifa S	personal		Creator			UNCCH	CDR	
Abdelrahman, Faisal	personal		Creator			UNCCH	CDR	
Abdenour, Jesse	personal		Creator			UNCCH	CDR	
Abdi, Fadumo	personal		Creator			UNCCH	CDR	
Abdo, Abdurahman	personal		Creator			UNCCH	CDR	
Abdo, Nour	personal		Creator			UNCCH	CDR	
Abdool Karim, Salim S	personal		Creator			UNCCH	CDR	
Abdulkadiroglu, Atila	personal		Thesis advisor			UNCCH	CDR	
Abdulla, Kanat	personal		Author			UNCCH	CDR	
Abdulla, Salim	personal		Creator			UNCCH	CDR	
Abdulrahman, Eiman	personal		Creator			UNCCH	CDR	
Abebe, Lydia	personal		Reviewer;;;Thesis advisor			UNCCH	CDR	
Abecasis, Gonçalo	personal		Creator			UNCCH	CDR	
Abecasis, Gonçalo 	personal		Creator			UNCCH	CDR	
Abecasis, Goncalo R.	personal		Creator			UNCCH	CDR	
Abecasis, Gonçalo R.	personal		Creator			UNCCH	CDR	
Abel, Kate	personal		Creator			UNCCH	CDR	
Abel, Kristina	personal		Creator;;;Thesis advisor			UNCCH	CDR	
Abel, Linda	personal		Reviewer			UNCCH	CDR	
Abel, Michael A.	personal		Creator			UNCCH	CDR	
Abel, Trudi	personal		Creator			UNCCH	CDR	
Abeles, Oren	personal		Creator			UNCCH	CDR	
Abelson, Benjamin	personal		Creator			UNCCH	CDR	
Abendroth, Karin	personal		Creator			UNCCH	CDR	
Aberg, Karolina A	personal		Creator			UNCCH	CDR	
Abernathy, Penny Muse	personal		Thesis advisor			UNCCH	CDR	
Abernethy, Taylor	personal		Creator			UNCCH	CDR	
Abernethy-Smith, Melinda G.	personal		Creator			UNCCH	CDR	
Abhishek, Chandra	personal		Creator			UNCCH	CDR	
Abhyankar, Purva	personal		Creator			UNCCH	CDR	
Abimbola, Obafunto	personal		Creator			UNCCH	CDR	
Abinya, Nicholas	personal		Thesis advisor			UNCCH	CDR	
Abken, Carol A.	personal		Creator			UNCCH	CDR	
Able, Harriet	personal		Thesis advisor			UNCCH	CDR	
Abler, Laurie	personal		Creator			UNCCH	CDR	
Abode, Kathleen A.	personal		Creator			UNCCH	CDR	
Abodoo, Elvis	personal		Creator			UNCCH	CDR	
Aborigo, Raymond	personal		Creator			UNCCH	CDR	
Aboshaiqah, Ahmad	personal		Thesis advisor			UNCCH	CDR	
AbouAssi, Hiba	personal		Creator			UNCCH	CDR	
Abraham, Anita Ann	personal		Creator			UNCCH	CDR	
Abraham, Kathryn	personal		Creator			UNCCH	CDR	
Abraham, Linzy	personal		Creator			UNCCH	CDR	
Abraham, Prasanth	personal		Creator			UNCCH	CDR	
Abraham, William T.	personal		Creator			UNCCH	CDR	
Abrahams, Sarah L.	personal		Creator			UNCCH	CDR	
Abrahams, Sheryl W.	personal		Creator			UNCCH	CDR	
Abrahamson, Page	personal		Creator			UNCCH	CDR	
Abram, Steven R	personal		Creator			UNCCH	CDR	
Abramowitz, Jon	personal		Thesis advisor			UNCCH	CDR	
Abramowitz, Jonathan	personal		Thesis advisor			UNCCH	CDR	
Abrams, Arielle	personal		Creator			UNCCH	CDR	
Abrams, Elizabeth T	personal		Creator			UNCCH	CDR	
Abrams, Jonathan	personal		Creator			UNCCH	CDR	
Abrecht, Olivia	personal		Creator			UNCCH	CDR	
Abreu, Aida Penna Campos	personal		Creator			UNCCH	CDR	
Abreu Mendoza, Carlos	personal		Creator			UNCCH	CDR	
Absetz, Pilvikki	personal		Creator			UNCCH	CDR	
Abugharbieh, Rafeef	personal		Creator			UNCCH	CDR	
Abumoussa, Andrew	personal		Creator			UNCCH	CDR	
Accardi, Cristin (Chloey)	personal		Creator			UNCCH	CDR	
Acconci, Vito	personal		Reviewer			UNCCH	CDR	
Acevedo, Delia Nichole	personal		Creator			UNCCH	CDR	
Acevedo, Glamarys	personal		Creator			UNCCH	CDR	
Aceves, Seema S.	personal		Creator			UNCCH	CDR	
Achan, Jane	personal		Creator			UNCCH	CDR	
Acharya, Chaitanya R	personal		Creator			UNCCH	CDR	
Acheson, Mariel L M	personal		Creator			UNCCH	CDR	
Achoki, Tom	personal		Creator			UNCCH	CDR	
Achrekar, Angeli	personal		Creator			UNCCH	CDR	
Achtmeyer, Carol E	personal		Creator			UNCCH	CDR	
Achyut, Pranita	personal		Creator			UNCCH	CDR	
Acita, Marcia A.	personal		Creator			UNCCH	CDR	
Ackall, Viviane	personal		Creator			UNCCH	CDR	
Acker, Norman	personal		Creator			UNCCH	CDR	
Ackerman, Sara Louise	personal		Creator			UNCCH	CDR	
Ackermann, Jeffrey	personal		Creator			UNCCH	CDR	
Ackerson, Michael Robert	personal		Creator			UNCCH	CDR	
Acorrea, Adolfo	personal		Reviewer			UNCCH	CDR	
Acosta, Michael	personal		Thesis advisor			UNCCH	CDR	
Acosta, Tatiana	personal		Creator			UNCCH	CDR	
Acosta Munoz, Felipe Esteban	personal		Creator			UNCCH	CDR	
Acree, Brice	personal		Creator			UNCCH	CDR	
Acree, William	personal		Thesis advisor			UNCCH	CDR	
Acree, William Garrett	personal		Creator			UNCCH	CDR	
Adair, Kathryn	personal		Creator			UNCCH	CDR	
Adair, Kathryn Carrie	personal		Creator			UNCCH	CDR	
Adair, Linda	personal		Creator;;;Thesis advisor;;;Reviewer			UNCCH	CDR	
Adair, Margaret	personal		Creator			UNCCH	CDR	
Adalsteinsson, David	personal		Creator;;;Thesis advisor			UNCCH	CDR	
Adam, Gaelen P	personal		Creator			UNCCH	CDR	
Adam, Karl Martin	personal		Author			UNCCH	CDR	
Adam-Houser, Mathew A.	personal		Creator			UNCCH	CDR	
Adamo, Barbara	personal		Creator			UNCCH	CDR	
Adamo, Elena	personal		Creator			UNCCH	CDR	
Adamo, Julie	personal		Creator			UNCCH	CDR	
Adams, Brian	personal		Creator			UNCCH	CDR	
Adams, Christopher	personal		Composer			UNCCH	CDR	
Adams, Cynthia D.	personal		Creator			UNCCH	CDR	
Adams, Daniel Brian	personal		Creator			UNCCH	CDR	
Adams, Elizabeth	personal		Thesis advisor			UNCCH	CDR	
Adams, Elizabeth A.	personal		Creator			UNCCH	CDR	
Adams, Erika	personal		Creator			UNCCH	CDR	
Adams, Harry	personal		Creator			UNCCH	CDR	
Adams, Julian	personal		Creator			UNCCH	CDR	
Adams, Leslie	personal		Creator			UNCCH	CDR	
Adams, Mikaëla M.	personal		Creator			UNCCH	CDR	
Adams, Nicholas S.	personal		Creator			UNCCH	CDR	
Adams, Rayhaan	personal		Creator			UNCCH	CDR	
Adams, Reid L.	personal		Creator			UNCCH	CDR	
Adams, Robert	personal		Thesis advisor			UNCCH	CDR	
Adams, Sarah Elizabeth	personal		Creator			UNCCH	CDR	
Adams, Scott D.	personal		Thesis advisor			UNCCH	CDR	
Adams, Stacie	personal		Creator			UNCCH	CDR	
Adams, Stephanie	personal		Creator			UNCCH	CDR	
Adams, Stephanie J.	personal		Creator			UNCCH	CDR	
Adams, Whitney N.	personal		Creator			UNCCH	CDR	
Adams-Mardi, Cyrus	personal		Creator			UNCCH	CDR	
Adamson, Joel	personal		Creator			UNCCH	CDR	
Adamson, MD, MPP, Adewole	personal		Reviewer			UNCCH	CDR	
Adamson, Stephanie	personal		Creator			UNCCH	CDR	
Adatia, Nimet Diamond	personal		Creator			UNCCH	CDR	
Adatorwovor, Reuben	personal		Creator			UNCCH	CDR	
Adcock, Lee M., III	personal		Creator			UNCCH	CDR	
Addington, Anjene M.	personal		Creator			UNCCH	CDR	
Addington, Donald	personal		Creator			UNCCH	CDR	
Addington, Jean	personal		Creator;;;Thesis advisor			UNCCH	CDR	
Addison, Dolores	personal		Creator			UNCCH	CDR	
Addison, Jessica	personal		Creator			UNCCH	CDR	
Adduci, Laura	personal		Creator			UNCCH	CDR	
Addy, Naa Dede	personal		Creator			UNCCH	CDR	
Addy, Naa Dede Awula	personal		Creator			UNCCH	CDR	
Adebamowo, Clement	personal		Creator			UNCCH	CDR	
Adebanjo, Tolu	personal		Creator			UNCCH	CDR	
Adeleye, Yeyejide A	personal		Creator			UNCCH	CDR	
Adelman, Avril	personal		Creator			UNCCH	CDR	
Adelman, Caroline Bliss	personal		Creator			UNCCH	CDR	
Adelman, Daniel Lindorff	personal		Creator			UNCCH	CDR	
Adelman, Karen	personal		Creator			UNCCH	CDR	
Adelstein, Robert	personal		Thesis advisor			UNCCH	CDR	
Adeniji, Elisha	personal		Creator			UNCCH	CDR	
Aderem, Alan	personal		Creator			UNCCH	CDR	
Adesse, Leila	personal		Creator			UNCCH	CDR	
Adgate, John L.	personal		Creator			UNCCH	CDR	
Adgent, Margaret	personal		Creator			UNCCH	CDR	
Adikes, Rebecca	personal		Author			UNCCH	CDR	
Adimora, Adaora	personal		Creator;;;Thesis advisor			UNCCH	CDR	
