name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
"Boulus, Mary Michel, Sister, 1926-2012"	personal					UNCC	Islandora	
"Hair, Elisabeth G. (Elisabeth Green), 1920-2014"	personal					UNCC	Islandora	
"Lavitan, Gladys, 1916-2014"	personal					UNCC	Islandora	
"Higgins, Sara Wyche, 1920-2010"	personal					UNCC	Islandora	
"Elder, Thereasea D. Clark (Thereasea Delerine Clark), 1927-"	personal					UNCC	Islandora	
"Conder, Wilma H., 1923-2014"	personal					UNCC	Islandora	
"Raborn, Earl, 1927-2015"	personal					UNCC	Islandora	
"Price, James Wilson, 1921-2011"	personal					UNCC	Islandora	
"Bonham, William Frank, 1927-"	personal					UNCC	Islandora	
"Thomson, Cindy, 1946-"	personal					UNCC	Islandora	
"Coleman, Rosa Lee, 1909-1993"	personal					UNCC	Islandora	
"Brown, Banita W. (Banita White), 1960-"	personal					UNCC	Islandora	
"Beckwith, Carson H. (Carson Hezekiah), 1909-2009"	personal					UNCC	Islandora	
"Hager, Dorothy, 1936-"	personal					UNCC	Islandora	
"Gibson, Hassey R. (Hassey Richardson), 1910-1999"	personal					UNCC	Islandora	
"Barber, Jasper Dennis, 1932-2002"	personal					UNCC	Islandora	
"Morrow, Kneever, Sr., 1922-1999"	personal					UNCC	Islandora	
"Brennan, Louise Smith, 1922-2007"	personal					UNCC	Islandora	
"Wister, Emery, 1914-2007"	personal					UNCC	Islandora	
"Dunlap, William Samuel, 1940-"	personal					UNCC	Islandora	
"Majors, R. Powell, 1906-2007"	personal					UNCC	Islandora	
"Roberts, Gus, 1941-1992"	personal					UNCC	Islandora	
"Flock, Frances, 1928-"	personal					UNCC	Islandora	
"Flock, Tim, 1924-1998"	personal					UNCC	Islandora	
"Smith, Bruton, 1927-"	personal					UNCC	Islandora	
"Wyant, Benjamin F. (Benjamin Frank), Jr., 1920-1998"	personal					UNCC	Islandora	
"Perryman, Julia Royals, 1926-2009"	personal					UNCC	Islandora	
"Vaughn, Mary, 1938-"	personal					UNCC	Islandora	
"Miller, LaVerne, 1949-"	personal					UNCC	Islandora	
"Thompson, Vernard, 1948-"	personal					UNCC	Islandora	
"Thrower, Donnie R. (Donnie Rhyne), 1929-2014"	personal					UNCC	Islandora	
"Snipes, Walter Thomas, 1932-"	personal					UNCC	Islandora	
"Washington, Nathaniel, 1941-"	personal					UNCC	Islandora	
"Nance, Jeffrey L. (Jeffrey Lane), 1956-"	personal					UNCC	Islandora	
"Steele, Barbara C., 1932-2005"	personal					UNCC	Islandora	
"Earnhardt, Ralph, 1928-1973"	personal					UNCC	Islandora	
"Leeper, Hattie, 1930-"	personal					UNCC	Islandora	
"Newman, Carol R., 1946-2007"	personal					UNCC	Islandora	
"Aderholt, Orville F. (Orville Franck), 1874-1929"	personal					UNCC	Islandora	
"Grindstaff, Evelyn, 1922-"	personal					UNCC	Islandora	
"Coutourier, Sherrill, 1948-"	personal					UNCC	Islandora	
"Dearmon, Norris A. (Norris Adam), 1922-"	personal					UNCC	Islandora	
"Thomas, Aileen R. (Aileen Rabb), 1893-1992"	personal					UNCC	Islandora	
"McCall, Alice M. (Alice Murray), 1912-2006"	personal					UNCC	Islandora	
"DeCamp, Allen Ledyard, 1908-1986"	personal					UNCC	Islandora	
"Whitton, Beaumert, 1910-1990"	personal					UNCC	Islandora	
"Silver, Horace A. (Horace Aude), 1910-1984"	personal					UNCC	Islandora	
"Kelly, Ella F. (Ella Fielding), 1907-1991"	personal					UNCC	Islandora	
"McFarland, John C. (John Claude), 1923-1981"	personal					UNCC	Islandora	
"Hicks, Susan Bible, 1893-1996"	personal					UNCC	Islandora	
"Zemek, Arthur J. (Arthur Joseph), 1902-1980"	personal					UNCC	Islandora	
"Withers, Benjamin F. (Benjamin Franklin), 1900-1992"	personal					UNCC	Islandora	
"McKenzie, Margaret Boone, 1882-1980"	personal					UNCC	Islandora	
"Bergeson, Beverly, 1917-1998"	personal					UNCC	Islandora	
