name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
[Camp Fire Girls]	corporate					UNCG	CDM	HENP
[Department of Public Works, Greensboro (N.C.)]	corporate					UNCG	CDM	ttt
[Illegible]	personal		Editor			UNCG	CDM	GSOPatriot
A. A.						UNCG	CDM	Carolinian
A. B.						UNCG	CDM	Carolinian
A. B. B.						UNCG	CDM	Carolinian
A. B. Caldwell Publishing Co., Atlanta, Ga.	corporate					UNCG	CDM	Community
A. B. H.						UNCG	CDM	Carolinian
A. H.						UNCG	CDM	Carolinian
A. J. S.						UNCG	CDM	Carolinian
A. L. O. E., 1821-1893	personal		Author			UNCG	CDM	tb1
A. L. S.						UNCG	CDM	Carolinian
A. R.						UNCG	CDM	Carolinian
A. S.						UNCG	CDM	Carolinian
A. S. Seer's Print.						UNCG	CDM	Hansen
A. V.						UNCG	CDM	Carolinian
A. V. S.						UNCG	CDM	Carolinian
A. Van N.						UNCG	CDM	Carolinian
A.B.S.	personal					UNCG	CDM	tb1
A.J. Lindemann & Hoverson & Co.	corporate					UNCG	CDM	HENP
AAF Overseas Replacement Depot and Redistribution Station No. 5	corporate					UNCG	CDM	ttt
AAF Overseas Replacement Depot, Greensboro, N.C.	corporate					UNCG	CDM	ttt
Abbott, Jacob, 1803-1879	personal		Author			UNCG	CDM	tb1
Abbott, Jacob, 1803-1879	personal		Author			UNCG	CDM	tb1
Abbott, Jacob, 1803-1879	personal		Author			UNCG	CDM	tb1
Abbott, Jane, 1881-	personal		Author			UNCG	CDM	tb1
Abbott, John S. C. (John Stevens Cabot), 1805-1877	personal		Author			UNCG	CDM	tb1
Abbott, Lyman, 1835-1922	personal		Author			UNCG	CDM	tb1
Abell, L. G., Mrs.	personal		Author			UNCG	CDM	tb1
Abercrombie and Fitch	corporate					UNCG	CDM	ui
Abernethy, Inza						UNCG	CDM	Carolinian
Abernethy, Mary Winn						UNCG	CDM	Carolinian
Abrams, Garry						UNCG	CDM	CivilRights
Abt Associates	corporate					UNCG	CDM	HENP
Abt Associates	corporate					UNCG	CDM	HENP
Abt Associates	corporate					UNCG	CDM	HENP
Abt Associates	corporate					UNCG	CDM	HENP
Abt Associates	corporate					UNCG	CDM	HENP
Abt Associates	corporate					UNCG	CDM	HENP
Abt Associates	corporate					UNCG	CDM	HENP
Acapulco Medical Society	corporate					UNCG	CDM	Cone
Achron, Joseph						UNCG	CDM	Greenhouse
Ackerman, A. (Abraham)	personal		Author			UNCG	CDM	tb1
Adam, Juliette, 1836-1936	personal		Author			UNCG	CDM	tb1
Adam, William.	personal					UNCG	CDM	HENP
Adamowski, Joseph						UNCG	CDM	Greenhouse
Adams, May Lattimore						UNCG	CDM	ui
Adams-Ender, Clara Leach						UNCG	CDM	wvhp
Adams, Abigail, 1744-1818	personal		Author			UNCG	CDM	tb1
Adams, Alma Shealey						UNCG	CDM	CivilRights
Adams, Amelie						UNCG	CDM	Carolinian
Adams, Annie						UNCG	CDM	Carolinian
Adams, Charles						UNCG	CDM	ui
Adams, Charles M.						UNCG	CDM	ui
Adams, Charles M.						UNCG	CDM	Carolinian
Adams, Daniel 1773-1864						UNCG	CDM	MSS
Adams, Daniel, 1773-1864	personal		Author			UNCG	CDM	tb1
Adams, Frank R.			Lyricist			UNCG	CDM	Hansen
Adams, Franklin P. (Franklin Pierce), 1881-1960	personal		Author			UNCG	CDM	tb1
Adams, Gail						UNCG	CDM	wvhp
Adams, Henrietta S.	personal		Illustrator			UNCG	CDM	tb1
Adams, John, 1735-1826	personal		Author			UNCG	CDM	tb1
Adams, Mary M. (Mary Mathews), 1840-1902	personal		Author			UNCG	CDM	tb1
Adams, May Lattimore						UNCG	CDM	ui
Adams, Oscar Fay, 1855-1919	personal		Author			UNCG	CDM	tb1
Adams, Rebecca						UNCG	CDM	ui
Adams, Robin						UNCG	CDM	CivilRights
Adams, W. G. S. (William George Stewart), 1874-						UNCG	CDM	wwipams
