name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	Institution	source_system	collection
"Abbotts, Robert T."	Person					UNCW	ArchivesSpace	
"Adcock, Louis H."	Person					UNCW	ArchivesSpace	
"Ahlum, Sean"	Person					UNCW	ArchivesSpace	
"Ahlumn, Sean"	Person					UNCW	ArchivesSpace	
"Albritton, Jana"	Person					UNCW	ArchivesSpace	
"Allen, Dr. Walser"	Person					UNCW	ArchivesSpace	
"Allen, Walser H."	Person					UNCW	ArchivesSpace	
Alpha Phi Omega	Corporate			Alpha Phi Omega		UNCW	ArchivesSpace	
"Amendment, United States. Constitution. 18th"	Corporate					UNCW	ArchivesSpace	
American Association Of University Professors. Unc Wilmington Chapter	Corporate					UNCW	ArchivesSpace	
American Legion Auxiliary	Corporate					UNCW	ArchivesSpace	
American Philosophical Society	Corporate			American Philosophical Society		UNCW	ArchivesSpace	
"Anderson, Annette"	Person					UNCW	ArchivesSpace	
"Anderson, Ryan K."	Person			"Anderson, Ryan K."		UNCW	ArchivesSpace	
"Animeigo, Inc."	Corporate					UNCW	ArchivesSpace	
"Antiaircraft Artillery School (Camp Davis, N.C.)"	Corporate			"Antiaircraft Artillery School (Camp Davis, N.C.)"		UNCW	ArchivesSpace	
Armstrong Family	Family					UNCW	ArchivesSpace	
"Armstrong, Edward Hall, 1841-1864"	Person					UNCW	ArchivesSpace	
"Armstrong, Thomas J."	Person					UNCW	ArchivesSpace	
"Ashe, John, 1720?-1781"	Person					UNCW	ArchivesSpace	
"Ashe, Samuel A. (Samuel A’court)"	Person			"Ashe, Samuel A. (Samuel A’court)"		UNCW	ArchivesSpace	
Avery Family	Person					UNCW	ArchivesSpace	
"Avery, Johnston, 1901-1970"	Person			"Avery, Johnston, 1901-1970"		UNCW	ArchivesSpace	
"Avery, Virginia Hall"	Person					UNCW	ArchivesSpace	
"Bacon, Henry"	Person			"Bacon, Henry"		UNCW	ArchivesSpace	
"Bacon, Henry, 1866-1924"	Person					UNCW	ArchivesSpace	
"Bailey, Margaret"	Person					UNCW	ArchivesSpace	
Bank Of Wilmington (N.C.)	Corporate					UNCW	ArchivesSpace	
"Barrett, Steve"	Person					UNCW	ArchivesSpace	
"Barrett, Steven"	Person					UNCW	ArchivesSpace	
"Bartram, Moses, D. 1791"	Person					UNCW	ArchivesSpace	
Basketball Office	Corporate					UNCW	ArchivesSpace	
"Beatty, Gennie"	Person					UNCW	ArchivesSpace	
"Beeler, James Rush"	Person					UNCW	ArchivesSpace	
"Bellame, John"	Person					UNCW	ArchivesSpace	
"Bellamee, Abrham"	Person					UNCW	ArchivesSpace	
Bellamy Family	Family					UNCW	ArchivesSpace	
Bellamy Mansion Museum	Corporate					UNCW	ArchivesSpace	
"Bellamy, Anne T.S."	Person					UNCW	ArchivesSpace	
"Bellamy, Ellen Douglas"	Person					UNCW	ArchivesSpace	
"Bellamy, Ellen Douglas, 1852-1946"	Person					UNCW	ArchivesSpace	
"Bellamy, John D."	Person					UNCW	ArchivesSpace	
"Bellamy, John Dillard"	Person					UNCW	ArchivesSpace	
"Bennett, Marian"	Person					UNCW	ArchivesSpace	
"Best, William H."	Person					UNCW	ArchivesSpace	
Biblioteca apostolica vaticana	Corporate			Biblioteca apostolica vaticana		UNCW	ArchivesSpace	
"Blanchard, Doc"	Person					UNCW	ArchivesSpace	
"Blanchard, Felix"	Person					UNCW	ArchivesSpace	
"Blanton, Claude"	Person					UNCW	ArchivesSpace	
"Block, Susan Taylor"	Person			"Block, Susan Taylor"		UNCW	ArchivesSpace	
Boney Architects	Corporate					UNCW	ArchivesSpace	
"Bouguereau, William Adolphe, 1825-1905"	Person			"Bouguereau, William Adolphe, 1825-1905"		UNCW	ArchivesSpace	
"Bowles, Erskine B. (erskine Boyce), 1945-"	Person			"Bowles, Erskine B. (erskine Boyce), 1945-"		UNCW	ArchivesSpace	
Boys' Brigade -- North Carolina -- Wilmington	Corporate					UNCW	ArchivesSpace	
"Brauer, Friedrich"	Person					UNCW	ArchivesSpace	
"Broad, Molly Corbett"	Person					UNCW	ArchivesSpace	
"Brogden, Laura"	Person					UNCW	ArchivesSpace	
Brown University	Corporate					UNCW	ArchivesSpace	
"Brown, Danette"	Person					UNCW	ArchivesSpace	
"Browning, Joe"	Person					UNCW	ArchivesSpace	
"Bullers, Susan K."	Person					UNCW	ArchivesSpace	
Burgwin Family 	Family					UNCW	ArchivesSpace	
Burgwyn Family 	Family					UNCW	ArchivesSpace	
"Burney, John J."	Person			"Burney, John J."		UNCW	ArchivesSpace	
"Burney, John, 1967 -1971"	Person					UNCW	ArchivesSpace	
"Cain, Robert J."	Person					UNCW	ArchivesSpace	
Calder Family	Person					UNCW	ArchivesSpace	
"Calder, Phila Cohen Lazarus"	Person					UNCW	ArchivesSpace	
"Calder, William"	Person					UNCW	ArchivesSpace	
Campus Activities And Involvement Center	Corporate					UNCW	ArchivesSpace	
Campus Recreation	Corporate					UNCW	ArchivesSpace	
"Cantwell, Robert C."	Person					UNCW	ArchivesSpace	
"Caropreso, Edward"	Person					UNCW	ArchivesSpace	
Catholic Church	Corporate					UNCW	ArchivesSpace	
Center For Leadership Education And Service	Corporate					UNCW	ArchivesSpace	
Center For Marine Science	Corporate					UNCW	ArchivesSpace	
Center For Support Of Undergraduate Research And Fellowships	Corporate					UNCW	ArchivesSpace	
"Chamberlain, Neville, 1869-1940"	Person					UNCW	ArchivesSpace	
"Chambers, Samuel T."	Person					UNCW	ArchivesSpace	
Chancellor's Steering Committee On Information Technologies	Corporate					UNCW	ArchivesSpace	
"Chatfield, Victoria"	Person					UNCW	ArchivesSpace	
Cherry Family	Family					UNCW	ArchivesSpace	
"Clark, Andrew"	Person					UNCW	ArchivesSpace	
"Cody, Sue Ann, 1953-"	Person			"Cody, Sue Ann, 1953-"		UNCW	ArchivesSpace	
"Coleridge, Samuel Taylor, 1772-1834. "	Person					UNCW	ArchivesSpace	
College Of Arts And Sciences	Corporate					UNCW	ArchivesSpace	
College Of Health And Human Services	Corporate					UNCW	ArchivesSpace	
College Of William And Mary	Corporate					UNCW	ArchivesSpace	
"Community Hospital (Wilmington, NC)"	Corporate					UNCW	ArchivesSpace	
"Conser, Walter H."	Person			"Conser, Walter H."		UNCW	ArchivesSpace	
Cooper Family	Person					UNCW	ArchivesSpace	
"Cooper, April E. (Dr. April E. Cooper)"	Person					UNCW	ArchivesSpace	
"Cooper, Steve E."	Person					UNCW	ArchivesSpace	
"Cooper, Thomas E."	Person					UNCW	ArchivesSpace	
"Cooper, Thomas E."	Person					UNCW	ArchivesSpace	
"Cooper, William Bryant"	Person					UNCW	ArchivesSpace	
"Cordelle, Frank, 1942-"	Person			"Cordelle, Frank, 1942-"		UNCW	ArchivesSpace	
"Cotton, Nada R. Mcdonald"	Person					UNCW	ArchivesSpace	
"Cowan, Barbara"	Person					UNCW	ArchivesSpace	
"Cowan, Barbie"	Person					UNCW	ArchivesSpace	
"Cox, Charles"	Person					UNCW	ArchivesSpace	
"Cox, Thomas E."	Person					UNCW	ArchivesSpace	
"Craven, William Craven, Earl Of, 1606-1697"	Person					UNCW	ArchivesSpace	
Crew Club	Corporate					UNCW	ArchivesSpace	
"Crews, J. Marshall"	Person			"Crews, J. Marshall"		UNCW	ArchivesSpace	
Cronly Family	Family			Cronly Family		UNCW	ArchivesSpace	
Cronly Family 	Family			Cronly Family 		UNCW	ArchivesSpace	
"Cronly, Robert Dixon"	Person			"Cronly, Robert Dixon"		UNCW	ArchivesSpace	
"Cronly, Robert Dixon, 1894-1968"	Person					UNCW	ArchivesSpace	
"Cronly, Ruth Pleasants"	Person			"Cronly, Ruth Pleasants"		UNCW	ArchivesSpace	
"Cronly, Ruth Pleasants"	Person					UNCW	ArchivesSpace	
"Cronly, Ruth Pleasants"	Person					UNCW	ArchivesSpace	
Crossroads	Corporate					UNCW	ArchivesSpace	
"Crowe, Donna"	Person					UNCW	ArchivesSpace	
"Cunningham, Mimi"	Person					UNCW	ArchivesSpace	
"Cunningham, Mimi"	Person					UNCW	ArchivesSpace	
Curriculum Committee	Corporate					UNCW	ArchivesSpace	
"Daniel, John Thomas"	Person					UNCW	ArchivesSpace	
"Daniel, Leona Brown"	Person					UNCW	ArchivesSpace	
"Davidson, Ronald Conway"	Person					UNCW	ArchivesSpace	
Davis Family	Family					UNCW	ArchivesSpace	
"Davis, Helan Bayley"	Person					UNCW	ArchivesSpace	
