name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	Institution	source_system	collection
"Abate, Renato"	personal					UNCW	CONTENTdm	Art in Randall Library
"Akin, Mark"	personal					UNCW	CONTENTdm	Art in Randall Library
"Allinson, Barbara E."	personal					UNCW	CONTENTdm	Art in Randall Library
"Allman, Ben"	personal					UNCW	CONTENTdm	Art in Randall Library
Anas	personal					UNCW	CONTENTdm	Art in Randall Library
"Anderson, Jack"	personal					UNCW	CONTENTdm	Art in Randall Library
"Andrews, Eunice"	personal					UNCW	CONTENTdm	Art in Randall Library
Artist	personal					UNCW	CONTENTdm	Art in Randall Library
"Audubon, John James"	personal					UNCW	CONTENTdm	Art in Randall Library
"Aweeky, Caroline"	personal					UNCW	CONTENTdm	Art in Randall Library
"Badoian, Ken"	personal					UNCW	CONTENTdm	Art in Randall Library
"Badoian, Ken"	personal					UNCW	CONTENTdm	Art in Randall Library
"Bailey, St. Claire (Edward)"	personal					UNCW	CONTENTdm	Art in Randall Library
"Baker, Paul"	personal					UNCW	CONTENTdm	Art in Randall Library
"Baldridge, Jane, and Fritzi Huber"	personal					UNCW	CONTENTdm	Art in Randall Library
"Baldridge, Jane, and Fritzi Huber"	personal					UNCW	CONTENTdm	Art in Randall Library
"Baldrige, Jane"	personal					UNCW	CONTENTdm	Art in Randall Library
"Ball, A."	personal					UNCW	CONTENTdm	Art in Randall Library
"Banker, Maureen"	personal					UNCW	CONTENTdm	Art in Randall Library
"Bardin, Jerry"	personal					UNCW	CONTENTdm	Art in Randall Library
"Belford, Christina"	personal					UNCW	CONTENTdm	Art in Randall Library
Ben Owen III	personal					UNCW	CONTENTdm	Art in Randall Library
"Bendin, Romana"	personal					UNCW	CONTENTdm	Art in Randall Library
"Bennett, Thomas"	personal					UNCW	CONTENTdm	Art in Randall Library
Berkman	personal					UNCW	CONTENTdm	Art in Randall Library
"Berkman, Jack"	personal					UNCW	CONTENTdm	Art in Randall Library
"Berkman, Jack"	personal					UNCW	CONTENTdm	Art in Randall Library
"Berls, Shandi"	personal					UNCW	CONTENTdm	Art in Randall Library
"Bert, Marianne"	personal					UNCW	CONTENTdm	Art in Randall Library
"Bethell, M. Eloise"	personal					UNCW	CONTENTdm	Art in Randall Library
Betty	personal					UNCW	CONTENTdm	Art in Randall Library
"Bevins, Jim"	personal					UNCW	CONTENTdm	Art in Randall Library
"Bielski, Frank"	personal					UNCW	CONTENTdm	Art in Randall Library
"Bilisoly, Kay"	personal					UNCW	CONTENTdm	Art in Randall Library
"Bilisoly, Kay"	personal					UNCW	CONTENTdm	Art in Randall Library
"Bissette, Samuel"	personal					UNCW	CONTENTdm	Art in Randall Library
"Bissette, Samuel D"	personal					UNCW	CONTENTdm	Art in Randall Library
"Blaustein, I. M."	personal					UNCW	CONTENTdm	Art in Randall Library
"Blaustein, I.M."	personal					UNCW	CONTENTdm	Art in Randall Library
"Bliss, Stephen"	personal					UNCW	CONTENTdm	Art in Randall Library
"Boland, Jan"	personal					UNCW	CONTENTdm	Art in Randall Library
"Boney, Mary H."	personal					UNCW	CONTENTdm	Art in Randall Library
"Boney, Mary H."	personal					UNCW	CONTENTdm	Art in Randall Library
"Borton, Jeanette"	personal					UNCW	CONTENTdm	Art in Randall Library
"Bowman, Bruce"	personal					UNCW	CONTENTdm	Art in Randall Library
"Bowman, Bruce"	personal					UNCW	CONTENTdm	Art in Randall Library
"Bringle, Cynthia"	personal					UNCW	CONTENTdm	Art in Randall Library
"Bristol, Joann"	personal					UNCW	CONTENTdm	Art in Randall Library
"Bronh, P."	personal					UNCW	CONTENTdm	Art in Randall Library
"Brown, Betty"	personal					UNCW	CONTENTdm	Art in Randall Library
"Brown, Betty"	personal					UNCW	CONTENTdm	Art in Randall Library
"Brown, Betty"	personal					UNCW	CONTENTdm	Art in Randall Library
"Bucci, Becky"	personal					UNCW	CONTENTdm	Art in Randall Library
"Buckner, Terry Sellers"	personal					UNCW	CONTENTdm	Art in Randall Library
"Bullers, Sally"	personal					UNCW	CONTENTdm	Art in Randall Library
"Burbank, Betsy"	personal					UNCW	CONTENTdm	Art in Randall Library
"Burbank, Betsy"	personal					UNCW	CONTENTdm	Art in Randall Library
"Burke, Connie"	personal					UNCW	CONTENTdm	Art in Randall Library
"Burns, Martha Lang"	personal					UNCW	CONTENTdm	Art in Randall Library
"Burns, Martha Lang"	personal					UNCW	CONTENTdm	Art in Randall Library
"Bush, Rebecca Duffy"	personal					UNCW	CONTENTdm	Art in Randall Library
"Bush, Rebecca Duffy"	personal					UNCW	CONTENTdm	Art in Randall Library
